Student ID,Well versed with the subject,Explains concepts in an understandable way,Use of presentations,Degree of difficulty of assignments,Solves doubts willingly,Structuring of the course,Provides support for students going above and beyond,Course recommendation based on relevance,Overall_Score,Feedback
518,7,4,8,5,7,9,2,6,6.0,The course was okay but could be improved in some areas.
856,6,9,4,6,8,8,3,8,6.5,"Average experience, assignments were manageable."
70,9,2,5,8,10,9,7,6,7.0,"Some topics were clear, others a bit confusing."
457,7,4,8,2,3,6,8,4,5.25,The course was okay but could be improved in some areas.
148,5,4,4,4,8,10,5,5,5.625,"Some topics were clear, others a bit confusing."
958,10,10,5,8,5,10,7,8,7.875,The course was okay but could be improved in some areas.
356,7,3,7,6,4,2,1,10,5.0,The course was okay but could be improved in some areas.
793,10,9,6,4,7,6,8,3,6.625,"Average experience, assignments were manageable."
771,8,7,6,4,8,7,3,2,5.625,"Average experience, assignments were manageable."
452,5,6,7,9,7,8,6,1,6.125,"Average experience, assignments were manageable."
72,8,7,7,3,4,1,4,7,5.125,"Average experience, assignments were manageable."
710,7,2,6,5,7,7,6,10,6.25,The course was okay but could be improved in some areas.
980,6,3,7,1,5,4,9,4,4.875,The course was difficult to follow and needs improvement.
145,6,8,4,6,1,3,2,7,4.625,The course was difficult to follow and needs improvement.
960,6,9,6,1,3,3,5,8,5.125,"Some topics were clear, others a bit confusing."
660,5,7,7,3,10,3,3,4,5.25,"Average experience, assignments were manageable."
987,9,10,7,8,7,3,8,7,7.375,"Average experience, assignments were manageable."
534,9,5,7,5,2,6,10,8,6.5,The course was okay but could be improved in some areas.
858,9,5,5,3,2,2,7,7,5.0,"Average experience, assignments were manageable."
324,10,5,5,2,2,5,7,6,5.25,"Some topics were clear, others a bit confusing."
884,7,4,7,10,5,1,7,4,5.625,The course was okay but could be improved in some areas.
611,8,9,5,3,9,5,8,3,6.25,The course was okay but could be improved in some areas.
136,8,6,7,10,9,9,2,3,6.75,"Average experience, assignments were manageable."
705,9,3,6,3,3,5,1,2,4.0,I struggled to understand the concepts.
991,7,4,5,8,9,8,5,1,5.875,The course was okay but could be improved in some areas.
676,9,8,5,7,4,10,2,6,6.375,The course was okay but could be improved in some areas.
769,9,8,8,8,1,1,8,5,6.0,The course was okay but could be improved in some areas.
246,7,10,8,8,4,10,3,8,7.25,"Average experience, assignments were manageable."
644,9,6,8,2,7,6,4,6,6.0,"Average experience, assignments were manageable."
263,7,9,4,7,9,8,10,7,7.625,"Some topics were clear, others a bit confusing."
476,9,4,6,4,8,6,4,10,6.375,"Some topics were clear, others a bit confusing."
697,7,7,6,1,8,10,5,2,5.75,The course was okay but could be improved in some areas.
95,7,2,5,5,9,6,8,3,5.625,The course was okay but could be improved in some areas.
688,8,6,7,5,6,1,4,10,5.875,"Average experience, assignments were manageable."
633,8,2,4,7,4,6,7,4,5.25,"Average experience, assignments were manageable."
241,8,3,8,8,10,1,8,6,6.5,"Some topics were clear, others a bit confusing."
524,9,8,4,6,10,1,9,10,7.125,The course was okay but could be improved in some areas.
504,9,4,5,6,6,1,7,10,6.0,"Some topics were clear, others a bit confusing."
417,9,6,7,9,5,1,7,2,5.75,"Average experience, assignments were manageable."
554,6,6,8,2,4,6,4,10,5.75,"Some topics were clear, others a bit confusing."
656,6,2,7,2,5,6,9,9,5.75,The course was okay but could be improved in some areas.
19,10,4,6,3,9,10,9,3,6.75,"Some topics were clear, others a bit confusing."
275,8,5,4,9,5,5,8,10,6.75,"Some topics were clear, others a bit confusing."
478,5,10,7,6,8,7,3,9,6.875,"Average experience, assignments were manageable."
132,6,9,5,8,10,3,2,10,6.625,"Average experience, assignments were manageable."
515,8,3,5,10,3,4,9,4,5.75,The course was okay but could be improved in some areas.
44,8,9,5,3,6,9,4,9,6.625,"Some topics were clear, others a bit confusing."
388,6,10,4,5,6,4,4,9,6.0,"Average experience, assignments were manageable."
204,8,7,6,3,3,10,3,6,5.75,"Some topics were clear, others a bit confusing."
338,5,2,4,6,9,10,9,4,6.125,"Some topics were clear, others a bit confusing."
619,8,7,6,4,3,9,3,8,6.0,"Average experience, assignments were manageable."
205,8,4,4,2,1,7,9,7,5.25,The course was okay but could be improved in some areas.
39,7,3,7,10,6,4,8,2,5.875,The course was okay but could be improved in some areas.
53,5,8,5,1,10,8,5,7,6.125,"Some topics were clear, others a bit confusing."
58,9,3,7,1,2,3,10,7,5.25,"Some topics were clear, others a bit confusing."
157,9,6,8,2,8,4,4,3,5.5,The course was okay but could be improved in some areas.
28,8,6,6,9,9,9,4,7,7.25,The course was okay but could be improved in some areas.
833,8,6,7,7,7,9,10,9,7.875,The course was okay but could be improved in some areas.
252,8,9,4,6,10,2,7,5,6.375,"Average experience, assignments were manageable."
658,8,5,6,7,10,4,6,4,6.25,"Some topics were clear, others a bit confusing."
179,6,3,7,6,2,6,5,2,4.625,The course was difficult to follow and needs improvement.
851,9,6,4,10,2,1,3,10,5.625,"Average experience, assignments were manageable."
809,7,8,7,5,10,2,8,8,6.875,The course was okay but could be improved in some areas.
330,7,7,5,7,9,10,2,2,6.125,The course was okay but could be improved in some areas.
94,10,10,4,7,8,2,4,4,6.125,"Some topics were clear, others a bit confusing."
826,10,5,7,2,8,7,10,5,6.75,"Average experience, assignments were manageable."
227,9,3,6,4,7,4,4,7,5.5,"Average experience, assignments were manageable."
1000,9,8,5,4,10,7,7,10,7.5,"Average experience, assignments were manageable."
114,10,9,7,1,8,4,4,2,5.625,"Average experience, assignments were manageable."
251,5,9,6,9,6,4,5,2,5.75,The course was okay but could be improved in some areas.
613,5,6,6,3,9,4,2,9,5.5,"Average experience, assignments were manageable."
101,10,5,6,6,9,8,10,3,7.125,"Average experience, assignments were manageable."
871,7,8,7,10,10,7,2,2,6.625,"Average experience, assignments were manageable."
551,6,3,5,7,3,1,9,10,5.5,The course was okay but could be improved in some areas.
931,6,5,7,3,6,5,6,10,6.0,The course was okay but could be improved in some areas.
49,8,7,8,8,1,1,8,3,5.5,"Some topics were clear, others a bit confusing."
512,5,10,7,9,9,9,6,9,8.0,The course was excellent and very well structured.
261,9,9,7,7,4,10,5,9,7.5,"Some topics were clear, others a bit confusing."
754,6,9,4,4,3,10,2,10,6.0,The course was okay but could be improved in some areas.
345,8,2,8,9,10,10,9,5,7.625,"Some topics were clear, others a bit confusing."
970,10,9,5,7,6,7,4,7,6.875,"Some topics were clear, others a bit confusing."
990,6,9,6,4,9,5,10,8,7.125,The course was okay but could be improved in some areas.
911,6,4,4,10,9,4,7,2,5.75,"Some topics were clear, others a bit confusing."
909,9,8,5,9,5,6,9,7,7.25,"Some topics were clear, others a bit confusing."
817,6,5,7,10,10,4,6,6,6.75,The course was okay but could be improved in some areas.
733,10,10,5,1,4,1,3,4,4.75,Poor explanations and unclear assignments.
626,7,9,5,4,9,4,3,1,5.25,"Some topics were clear, others a bit confusing."
292,7,9,8,1,5,4,7,4,5.625,"Some topics were clear, others a bit confusing."
82,5,10,8,4,4,10,5,5,6.375,"Some topics were clear, others a bit confusing."
355,10,8,5,6,5,10,1,8,6.625,The course was okay but could be improved in some areas.
948,9,5,4,7,9,3,5,7,6.125,"Some topics were clear, others a bit confusing."
341,9,4,4,4,7,5,5,8,5.75,"Some topics were clear, others a bit confusing."
952,7,9,5,7,8,8,10,5,7.375,"Average experience, assignments were manageable."
711,7,3,4,6,3,7,6,4,5.0,The course was okay but could be improved in some areas.
635,7,3,8,6,7,4,10,5,6.25,"Average experience, assignments were manageable."
850,5,8,7,4,8,7,8,6,6.625,The course was okay but could be improved in some areas.
716,6,3,7,9,2,3,3,6,4.875,Poor explanations and unclear assignments.
627,10,2,4,1,6,5,9,5,5.25,"Some topics were clear, others a bit confusing."
661,6,10,4,3,8,2,7,6,5.75,The course was okay but could be improved in some areas.
877,8,9,4,5,10,10,10,2,7.25,"Some topics were clear, others a bit confusing."
177,8,2,6,2,8,1,9,9,5.625,"Some topics were clear, others a bit confusing."
322,8,10,7,3,3,3,1,5,5.0,The course was okay but could be improved in some areas.
914,9,2,4,2,4,2,2,9,4.25,Poor explanations and unclear assignments.
486,10,9,5,1,4,10,6,9,6.75,The course was okay but could be improved in some areas.
723,6,10,5,3,10,3,6,4,5.875,"Some topics were clear, others a bit confusing."
105,9,10,5,1,3,1,1,2,4.0,The course was difficult to follow and needs improvement.
52,6,10,4,1,7,3,10,2,5.375,"Some topics were clear, others a bit confusing."
436,9,9,4,10,1,10,10,2,6.875,The course was okay but could be improved in some areas.
829,6,9,5,3,2,2,10,9,5.75,The course was okay but could be improved in some areas.
753,5,10,8,7,5,10,9,7,7.625,The course was okay but could be improved in some areas.
130,7,9,5,9,3,2,5,4,5.5,The course was okay but could be improved in some areas.
91,6,5,4,2,5,8,3,3,4.5,I struggled to understand the concepts.
590,10,3,4,4,9,9,6,2,5.875,"Some topics were clear, others a bit confusing."
965,10,3,4,5,10,3,7,3,5.625,"Some topics were clear, others a bit confusing."
99,8,9,6,2,2,3,10,6,5.75,The course was okay but could be improved in some areas.
912,7,10,7,10,2,7,5,7,6.875,The course was okay but could be improved in some areas.
395,9,6,8,2,7,9,8,10,7.375,"Some topics were clear, others a bit confusing."
923,6,3,5,6,9,4,10,3,5.75,The course was okay but could be improved in some areas.
499,7,9,8,3,5,1,5,2,5.0,"Average experience, assignments were manageable."
115,5,5,7,1,3,8,1,10,5.0,The course was okay but could be improved in some areas.
815,5,9,6,6,2,9,5,3,5.625,The course was okay but could be improved in some areas.
570,10,10,6,8,9,2,8,10,7.875,"Some topics were clear, others a bit confusing."
825,9,7,8,1,3,2,9,3,5.25,The course was okay but could be improved in some areas.
620,9,5,8,2,8,10,8,8,7.25,The course was okay but could be improved in some areas.
175,10,9,8,2,1,6,7,2,5.625,The course was okay but could be improved in some areas.
358,5,7,4,3,3,10,3,4,4.875,I struggled to understand the concepts.
191,7,4,5,2,5,10,4,7,5.5,"Some topics were clear, others a bit confusing."
492,6,5,8,10,3,8,3,2,5.625,The course was okay but could be improved in some areas.
529,9,6,6,1,4,10,1,7,5.5,"Some topics were clear, others a bit confusing."
389,5,5,8,6,2,3,5,7,5.125,"Average experience, assignments were manageable."
878,6,5,8,4,10,3,9,10,6.875,"Some topics were clear, others a bit confusing."
368,7,9,8,3,2,7,4,1,5.125,"Some topics were clear, others a bit confusing."
122,7,5,5,3,9,6,9,2,5.75,"Average experience, assignments were manageable."
332,9,2,7,2,8,7,4,10,6.125,The course was okay but could be improved in some areas.
303,7,4,5,4,7,2,1,6,4.5,Poor explanations and unclear assignments.
336,8,10,4,5,6,7,2,3,5.625,"Some topics were clear, others a bit confusing."
588,6,6,4,10,10,10,3,9,7.25,The course was okay but could be improved in some areas.
609,10,9,4,4,1,5,9,10,6.5,"Some topics were clear, others a bit confusing."
920,10,6,7,10,10,2,4,2,6.375,"Some topics were clear, others a bit confusing."
370,9,4,7,10,1,10,2,7,6.25,"Average experience, assignments were manageable."
405,10,2,5,5,5,1,4,6,4.75,The course was difficult to follow and needs improvement.
779,10,8,6,3,8,8,7,8,7.25,"Average experience, assignments were manageable."
962,10,6,4,5,1,7,1,10,5.5,"Some topics were clear, others a bit confusing."
268,10,6,5,9,9,1,8,6,6.75,"Some topics were clear, others a bit confusing."
625,10,7,6,7,9,6,3,3,6.375,"Average experience, assignments were manageable."
217,8,9,8,3,8,5,5,5,6.375,"Some topics were clear, others a bit confusing."
479,10,10,4,6,5,9,2,3,6.125,The course was okay but could be improved in some areas.
500,9,5,8,4,2,2,5,1,4.5,The course was difficult to follow and needs improvement.
409,8,9,7,3,10,4,6,1,6.0,The course was okay but could be improved in some areas.
546,7,7,5,1,9,8,1,1,4.875,The course was difficult to follow and needs improvement.
967,5,5,8,8,1,9,8,5,6.125,The course was okay but could be improved in some areas.
343,8,4,7,1,10,8,2,6,5.75,"Some topics were clear, others a bit confusing."
639,7,4,7,7,6,10,5,7,6.625,"Average experience, assignments were manageable."
402,6,8,6,9,4,8,5,7,6.625,"Some topics were clear, others a bit confusing."
617,5,7,5,4,7,1,10,6,5.625,"Average experience, assignments were manageable."
349,6,8,8,2,9,9,2,8,6.5,The course was okay but could be improved in some areas.
994,8,5,5,2,5,5,9,5,5.5,The course was okay but could be improved in some areas.
279,5,10,7,1,4,4,9,4,5.5,The course was okay but could be improved in some areas.
926,10,7,5,1,1,6,6,1,4.625,I struggled to understand the concepts.
816,10,8,5,9,2,7,9,3,6.625,"Some topics were clear, others a bit confusing."
765,8,7,8,5,7,7,7,7,7.0,The course was okay but could be improved in some areas.
160,10,6,5,4,2,10,4,7,6.0,"Some topics were clear, others a bit confusing."
606,8,3,8,1,6,4,8,9,5.875,"Average experience, assignments were manageable."
602,5,3,6,2,8,10,3,1,4.75,I struggled to understand the concepts.
893,10,6,8,1,1,10,1,3,5.0,"Some topics were clear, others a bit confusing."
810,9,6,7,3,5,9,10,5,6.75,"Average experience, assignments were manageable."
802,8,2,6,6,3,8,7,7,5.875,The course was okay but could be improved in some areas.
162,6,2,5,2,10,2,8,8,5.375,"Average experience, assignments were manageable."
449,5,7,8,9,3,2,7,10,6.375,"Some topics were clear, others a bit confusing."
463,7,8,7,8,1,4,4,1,5.0,The course was okay but could be improved in some areas.
41,5,3,5,9,3,1,8,8,5.25,The course was okay but could be improved in some areas.
838,6,3,6,8,7,1,8,8,5.875,"Average experience, assignments were manageable."
703,10,7,8,3,4,7,9,8,7.0,The course was okay but could be improved in some areas.
490,9,2,6,10,9,8,2,4,6.25,"Average experience, assignments were manageable."
906,7,7,8,4,5,2,4,5,5.25,"Some topics were clear, others a bit confusing."
174,7,3,6,7,10,10,2,3,6.0,"Average experience, assignments were manageable."
4,5,8,5,7,10,7,3,1,5.75,The course was okay but could be improved in some areas.
161,6,7,8,3,5,10,6,4,6.125,The course was okay but could be improved in some areas.
31,5,4,5,9,9,2,4,1,4.875,I struggled to understand the concepts.
623,6,4,6,6,10,10,3,9,6.75,"Some topics were clear, others a bit confusing."
818,10,5,4,9,2,6,2,6,5.5,"Average experience, assignments were manageable."
60,5,6,5,3,1,7,5,3,4.375,The course was difficult to follow and needs improvement.
384,6,2,7,9,4,4,2,8,5.25,"Average experience, assignments were manageable."
971,7,6,7,4,6,6,7,9,6.5,"Average experience, assignments were manageable."
427,7,3,7,2,9,8,8,7,6.375,The course was okay but could be improved in some areas.
431,10,9,4,3,3,9,4,1,5.375,"Some topics were clear, others a bit confusing."
408,6,5,4,7,1,8,6,7,5.5,"Average experience, assignments were manageable."
577,10,7,4,10,7,2,5,1,5.75,"Average experience, assignments were manageable."
803,6,10,8,5,6,5,6,7,6.625,The course was okay but could be improved in some areas.
273,9,3,7,1,5,3,8,4,5.0,The course was okay but could be improved in some areas.
371,6,3,4,9,4,10,4,10,6.25,"Average experience, assignments were manageable."
999,6,7,8,8,9,9,9,5,7.625,"Some topics were clear, others a bit confusing."
595,10,5,5,4,10,4,4,4,5.75,"Some topics were clear, others a bit confusing."
63,8,8,7,4,4,4,8,2,5.625,"Average experience, assignments were manageable."
899,5,4,7,7,2,6,1,1,4.125,Poor explanations and unclear assignments.
0,7,4,8,2,1,4,8,3,4.625,Poor explanations and unclear assignments.
796,7,9,6,2,7,7,6,8,6.5,"Some topics were clear, others a bit confusing."
181,10,10,4,2,1,5,3,1,4.5,Poor explanations and unclear assignments.
290,6,7,6,4,2,8,9,7,6.125,"Some topics were clear, others a bit confusing."
373,6,4,8,10,5,3,10,10,7.0,"Average experience, assignments were manageable."
285,6,10,5,7,3,3,5,1,5.0,"Some topics were clear, others a bit confusing."
882,6,3,4,1,7,5,4,2,4.0,Poor explanations and unclear assignments.
776,8,3,7,6,3,7,6,7,5.875,"Some topics were clear, others a bit confusing."
935,10,9,7,2,8,2,1,2,5.125,The course was okay but could be improved in some areas.
679,10,6,4,5,10,9,6,7,7.125,"Average experience, assignments were manageable."
102,7,4,6,3,5,7,5,5,5.25,"Average experience, assignments were manageable."
618,5,8,6,9,3,8,7,9,6.875,The course was okay but could be improved in some areas.
607,8,4,4,10,10,8,3,7,6.75,"Some topics were clear, others a bit confusing."
743,9,7,7,10,1,5,5,10,6.75,"Some topics were clear, others a bit confusing."
682,8,5,8,9,2,10,3,4,6.125,The course was okay but could be improved in some areas.
16,5,3,6,6,5,8,8,2,5.375,"Some topics were clear, others a bit confusing."
969,8,6,8,10,2,1,3,2,5.0,"Some topics were clear, others a bit confusing."
46,8,4,4,9,5,7,4,8,6.125,"Some topics were clear, others a bit confusing."
706,6,8,7,9,8,6,4,1,6.125,"Some topics were clear, others a bit confusing."
993,9,9,4,1,5,2,9,9,6.0,"Average experience, assignments were manageable."
508,10,6,5,8,8,5,7,10,7.375,The course was okay but could be improved in some areas.
989,8,4,5,4,8,6,7,3,5.625,The course was okay but could be improved in some areas.
133,10,4,7,3,5,4,4,5,5.25,"Some topics were clear, others a bit confusing."
15,8,9,8,3,6,10,2,3,6.125,"Some topics were clear, others a bit confusing."
78,10,9,6,8,10,7,7,8,8.125,The course was excellent and very well structured.
433,6,6,8,4,8,9,4,1,5.75,"Some topics were clear, others a bit confusing."
784,7,7,4,3,7,8,6,10,6.5,The course was okay but could be improved in some areas.
983,5,2,4,1,9,4,3,2,3.75,The course was difficult to follow and needs improvement.
197,9,3,5,9,8,2,4,10,6.25,"Average experience, assignments were manageable."
483,8,2,6,2,10,2,2,5,4.625,Poor explanations and unclear assignments.
376,5,5,5,8,8,4,6,10,6.375,The course was okay but could be improved in some areas.
915,10,7,4,6,9,4,9,5,6.75,"Some topics were clear, others a bit confusing."
210,6,5,7,9,5,1,2,4,4.875,Poor explanations and unclear assignments.
20,8,4,5,1,10,10,7,5,6.25,The course was okay but could be improved in some areas.
425,5,9,8,1,10,8,10,10,7.625,"Some topics were clear, others a bit confusing."
668,6,3,6,1,2,10,9,3,5.0,The course was okay but could be improved in some areas.
54,7,2,5,1,5,3,1,3,3.375,I struggled to understand the concepts.
950,7,2,7,10,5,3,4,7,5.625,"Average experience, assignments were manageable."
782,6,7,4,2,2,1,3,8,4.125,Poor explanations and unclear assignments.
108,5,5,7,5,10,7,3,9,6.375,The course was okay but could be improved in some areas.
400,9,4,5,5,8,10,6,10,7.125,"Average experience, assignments were manageable."
685,10,9,7,3,1,6,6,4,5.75,The course was okay but could be improved in some areas.
673,9,3,4,4,7,9,8,4,6.0,"Some topics were clear, others a bit confusing."
198,6,7,7,7,3,5,4,3,5.25,The course was okay but could be improved in some areas.
14,5,5,8,9,7,5,2,1,5.25,The course was okay but could be improved in some areas.
172,6,5,8,3,4,3,10,3,5.25,The course was okay but could be improved in some areas.
359,5,6,7,6,9,5,1,5,5.5,"Average experience, assignments were manageable."
714,10,5,5,5,7,5,7,9,6.625,"Some topics were clear, others a bit confusing."
785,7,6,7,1,7,5,5,9,5.875,"Some topics were clear, others a bit confusing."
865,8,4,6,2,7,5,2,7,5.125,"Some topics were clear, others a bit confusing."
662,10,6,4,5,1,9,6,3,5.5,The course was okay but could be improved in some areas.
513,9,10,7,7,9,2,10,1,6.875,The course was okay but could be improved in some areas.
722,7,10,5,5,4,9,6,7,6.625,"Some topics were clear, others a bit confusing."
8,6,7,6,10,6,9,9,10,7.875,"Average experience, assignments were manageable."
873,10,10,4,5,9,10,2,5,6.875,The course was okay but could be improved in some areas.
684,10,3,7,4,4,5,1,10,5.5,"Some topics were clear, others a bit confusing."
73,7,2,5,6,3,1,1,4,3.625,The course was difficult to follow and needs improvement.
900,9,8,5,8,4,6,9,7,7.0,The course was okay but could be improved in some areas.
933,6,9,4,8,7,10,3,5,6.5,The course was okay but could be improved in some areas.
634,6,7,6,6,1,6,3,8,5.375,The course was okay but could be improved in some areas.
835,8,2,7,8,3,4,3,4,4.875,The course was difficult to follow and needs improvement.
422,9,8,4,4,8,3,4,10,6.25,"Some topics were clear, others a bit confusing."
235,6,2,8,8,6,3,3,1,4.625,I struggled to understand the concepts.
286,10,3,7,10,8,8,4,9,7.375,"Some topics were clear, others a bit confusing."
129,7,3,4,9,1,4,4,9,5.125,The course was okay but could be improved in some areas.
443,7,9,8,2,4,5,1,5,5.125,"Some topics were clear, others a bit confusing."
301,10,7,7,4,3,4,9,2,5.75,The course was okay but could be improved in some areas.
532,10,2,4,2,2,6,10,9,5.625,"Some topics were clear, others a bit confusing."
64,6,2,8,1,8,4,8,4,5.125,"Average experience, assignments were manageable."
860,10,8,4,3,7,1,4,5,5.25,"Some topics were clear, others a bit confusing."
559,8,4,4,6,5,5,1,7,5.0,The course was okay but could be improved in some areas.
311,7,5,6,8,4,9,8,9,7.0,"Average experience, assignments were manageable."
32,9,3,7,7,6,1,9,2,5.5,"Average experience, assignments were manageable."
296,10,7,4,2,2,10,10,8,6.625,"Average experience, assignments were manageable."
419,10,2,5,8,5,3,3,10,5.75,"Some topics were clear, others a bit confusing."
83,10,6,6,1,8,1,3,9,5.5,"Average experience, assignments were manageable."
594,7,2,7,6,7,2,3,6,5.0,The course was okay but could be improved in some areas.
501,5,2,8,4,7,6,10,4,5.75,The course was okay but could be improved in some areas.
411,8,4,4,4,8,4,3,1,4.5,I struggled to understand the concepts.
824,10,7,7,9,4,9,9,8,7.875,"Average experience, assignments were manageable."
585,7,6,8,2,4,7,10,9,6.625,"Average experience, assignments were manageable."
848,9,9,6,1,9,2,8,6,6.25,"Average experience, assignments were manageable."
299,10,8,5,5,4,3,1,9,5.625,"Average experience, assignments were manageable."
107,9,4,8,6,10,4,5,9,6.875,The course was okay but could be improved in some areas.
119,9,10,5,1,9,6,7,6,6.625,"Some topics were clear, others a bit confusing."
335,5,3,4,2,8,4,7,6,4.875,Poor explanations and unclear assignments.
557,5,5,8,2,4,10,6,1,5.125,"Average experience, assignments were manageable."
113,5,6,7,1,10,6,4,7,5.75,The course was okay but could be improved in some areas.
281,5,6,6,3,4,1,1,1,3.375,Poor explanations and unclear assignments.
836,9,3,4,6,6,3,2,7,5.0,The course was okay but could be improved in some areas.
426,9,8,7,8,10,6,9,8,8.125,The course was excellent and very well structured.
42,8,2,4,6,6,7,3,1,4.625,I struggled to understand the concepts.
567,9,3,8,1,4,9,10,9,6.625,"Some topics were clear, others a bit confusing."
589,5,8,7,5,6,7,8,9,6.875,"Average experience, assignments were manageable."
187,5,5,6,2,6,1,8,5,4.75,I struggled to understand the concepts.
615,5,6,7,9,1,1,1,5,4.375,The course was difficult to follow and needs improvement.
556,9,9,5,5,1,3,6,10,6.0,The course was okay but could be improved in some areas.
3,9,6,5,9,10,5,5,4,6.625,"Average experience, assignments were manageable."
667,9,9,6,2,1,3,10,2,5.25,"Average experience, assignments were manageable."
234,7,2,4,5,1,8,7,2,4.5,I struggled to understand the concepts.
96,6,6,5,10,8,10,5,2,6.5,"Some topics were clear, others a bit confusing."
691,7,7,8,8,5,4,8,2,6.125,The course was okay but could be improved in some areas.
269,9,10,6,10,10,1,9,10,8.125,The course was excellent and very well structured.
566,8,10,6,10,7,6,6,1,6.75,"Average experience, assignments were manageable."
985,5,5,4,8,7,6,7,3,5.625,"Average experience, assignments were manageable."
437,7,2,6,7,5,8,1,8,5.5,The course was okay but could be improved in some areas.
200,8,4,8,6,8,4,7,1,5.75,The course was okay but could be improved in some areas.
291,10,3,7,8,2,10,3,3,5.75,The course was okay but could be improved in some areas.
612,8,9,8,7,1,2,8,4,5.875,The course was okay but could be improved in some areas.
448,6,7,7,9,2,9,2,5,5.875,"Some topics were clear, others a bit confusing."
439,6,8,7,7,7,4,5,4,6.0,"Average experience, assignments were manageable."
573,5,5,5,8,8,9,8,2,6.25,The course was okay but could be improved in some areas.
7,5,8,5,6,2,10,4,8,6.0,"Average experience, assignments were manageable."
725,5,10,8,4,3,5,1,6,5.25,"Average experience, assignments were manageable."
50,9,8,6,7,1,6,7,4,6.0,"Average experience, assignments were manageable."
423,7,9,5,10,10,7,7,3,7.25,"Average experience, assignments were manageable."
140,7,10,6,8,6,10,9,6,7.75,The course was okay but could be improved in some areas.
135,8,9,7,3,6,10,2,9,6.75,"Some topics were clear, others a bit confusing."
786,5,4,7,5,5,6,7,1,5.0,"Some topics were clear, others a bit confusing."
601,8,9,4,5,4,3,1,10,5.5,"Average experience, assignments were manageable."
493,9,4,4,9,4,3,6,7,5.75,"Average experience, assignments were manageable."
553,7,2,4,7,3,5,1,3,4.0,Poor explanations and unclear assignments.
27,7,3,5,5,5,1,8,6,5.0,The course was okay but could be improved in some areas.
257,8,5,6,4,4,1,5,4,4.625,Poor explanations and unclear assignments.
225,10,4,5,9,3,6,9,4,6.25,The course was okay but could be improved in some areas.
788,6,5,6,3,10,4,3,8,5.625,The course was okay but could be improved in some areas.
37,8,9,5,3,4,3,5,2,4.875,The course was difficult to follow and needs improvement.
170,5,10,7,2,8,5,9,5,6.375,The course was okay but could be improved in some areas.
528,9,2,5,2,6,5,1,6,4.5,The course was difficult to follow and needs improvement.
600,7,8,6,10,6,7,7,6,7.125,"Some topics were clear, others a bit confusing."
655,7,8,5,4,1,6,6,8,5.625,"Average experience, assignments were manageable."
74,8,8,6,1,2,5,2,6,4.75,Poor explanations and unclear assignments.
505,9,6,8,5,8,4,7,6,6.625,"Average experience, assignments were manageable."
377,5,5,7,3,9,6,1,4,5.0,"Some topics were clear, others a bit confusing."
808,8,6,4,5,1,8,8,3,5.375,"Some topics were clear, others a bit confusing."
366,9,9,8,2,1,10,5,2,5.75,"Some topics were clear, others a bit confusing."
238,8,7,5,10,10,9,7,10,8.25,I really enjoyed the lectures and learned a lot.
255,9,10,7,10,3,2,7,8,7.0,The course was okay but could be improved in some areas.
123,10,2,4,5,9,8,3,5,5.75,"Average experience, assignments were manageable."
663,6,2,8,2,5,7,5,7,5.25,"Some topics were clear, others a bit confusing."
876,6,7,4,4,9,2,5,9,5.75,"Some topics were clear, others a bit confusing."
690,5,10,8,4,2,7,9,6,6.375,The course was okay but could be improved in some areas.
309,5,8,4,9,2,1,4,5,4.75,The course was difficult to follow and needs improvement.
693,7,9,8,1,5,10,3,7,6.25,"Average experience, assignments were manageable."
226,7,6,8,8,8,5,8,8,7.25,"Average experience, assignments were manageable."
951,10,10,7,10,5,9,7,1,7.375,The course was okay but could be improved in some areas.
260,9,3,7,4,7,2,8,3,5.375,The course was okay but could be improved in some areas.
243,9,8,8,8,4,10,8,9,8.0,The course was excellent and very well structured.
222,5,4,4,2,7,9,5,3,4.875,I struggled to understand the concepts.
314,5,10,6,8,6,6,10,4,6.875,The course was okay but could be improved in some areas.
229,7,6,8,2,2,10,8,8,6.375,"Some topics were clear, others a bit confusing."
85,5,6,8,9,3,4,4,4,5.375,The course was okay but could be improved in some areas.
76,8,9,8,6,3,10,7,2,6.625,The course was okay but could be improved in some areas.
887,6,9,5,8,9,7,6,2,6.5,The course was okay but could be improved in some areas.
582,8,4,7,8,1,5,9,3,5.625,"Some topics were clear, others a bit confusing."
674,8,5,6,8,7,10,2,7,6.625,"Some topics were clear, others a bit confusing."
986,7,2,6,2,4,7,10,7,5.625,The course was okay but could be improved in some areas.
511,8,4,4,5,2,10,10,6,6.125,"Average experience, assignments were manageable."
879,6,10,5,10,9,5,5,4,6.75,The course was okay but could be improved in some areas.
401,8,10,7,2,8,10,8,9,7.75,The course was okay but could be improved in some areas.
514,6,6,7,10,7,7,6,3,6.5,"Average experience, assignments were manageable."
750,10,3,8,1,5,1,3,5,4.5,I struggled to understand the concepts.
156,7,4,7,9,10,8,5,8,7.25,"Some topics were clear, others a bit confusing."
775,5,6,7,2,5,4,1,4,4.25,Poor explanations and unclear assignments.
329,9,8,8,5,3,3,10,8,6.75,The course was okay but could be improved in some areas.
467,8,10,5,7,7,1,3,6,5.875,The course was okay but could be improved in some areas.
178,7,7,4,7,1,2,1,2,3.875,I struggled to understand the concepts.
549,5,3,7,6,8,8,5,5,5.875,The course was okay but could be improved in some areas.
453,8,4,4,4,2,8,1,4,4.375,Poor explanations and unclear assignments.
